CAMPANHA JUNHO / 2016,,,,Preço Tabela,,,,Antecipação,,,,,,,,,,,,,,,
Macro-Segmento,Segmento,MCC,Nome MCC,Créd. à Vista,PSJ <= 6,PSJ > 6,DÉBITO,ElegÍvel  (Sim / Não),Período Carência,,,,,,,,,,,,,,
ELETRÔNICOS E INFORMÁTICA,ELETRO-ELETRÔNICOS,4812,Telefones e Equipamentos de Telecomunicações,3.81%,4.51%,4.86%,2.26%,Não,Não Aplicavel,,,,,,,,,,,,,,
OUTROS SERVIÇOS,CONTAS DE CONSUMO,4814,Serviços de Telecomunicações - Chamadas Locais e Longa Distância,3.61%,4.39%,4.86%,2.26%,Não,Não Aplicavel,,,,,,,,,,,,,,
OUTROS SERVIÇOS,CONTAS DE CONSUMO,4816,Provedores de internet,3.40%,3.93%,4.66%,2.12%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,CONTAS DE CONSUMO,4899,TV a Cabo e outros tipos de TV paga,3.43%,4.16%,4.86%,2.16%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,CONTAS DE CONSUMO,4900,Servicos de Água, Luz, Gas, Tratamento de Lixo e Outros,3.53%,4.29%,4.61%,2.26%,Sim,30 dias,,,,,,,,,,,,,,
AUTOMOTIVO,DISTRIBUIDORES E ATACADISTAS,5013,Atacadistas e Distribuidores de Acessórios de Veículos,2.79%,3.39%,4.61%,1.86%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,MÓVEIS E DECORAÇÕES,5021,Atacadistas e Distribuidores de Mobília de Escritório e Comercial,2.90%,3.38%,3.58%,1.84%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,DISTRIBUIDORES E ATACADISTAS,5039,Atacadistas e Distribuidores de Materiais de Construção,2.98%,3.61%,4.66%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
ELETRÔNICOS E INFORMÁTICA,FOTO,5044,Atacadistas e Distribuidores de Equipamentos de Escritório, Fotocopiadoras  e de Fotografia,3.43%,4.16%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
ELETRÔNICOS E INFORMÁTICA,DISTRIBUIDORES E ATACADISTAS,5045,Atacadistas e Distribuidores de Computadores, Equipamentos Periféricos e Softwares,3.39%,4.11%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,DISTRIBUIDORES E ATACADISTAS,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,3.42%,4.11%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
SAÚDE,HOSPITAIS E LABORATÓRIOS,5047,Atacadistas e Distribuidores de Equipamentos Hospitalares, Médico e Oftalmico,3.37%,4.07%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,DISTRIBUIDORES E ATACADISTAS,5051,Atacadistas e Distribuidores de Produtos Metálicos,2.98%,3.61%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
ELETRÔNICOS E INFORMÁTICA,DISTRIBUIDORES E ATACADISTAS,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,3.14%,3.76%,4.66%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,DISTRIBUIDORES E ATACADISTAS,5072,Atacadistas e Distribuidores de Ferragens e Ferramentas,3.68%,4.27%,4.66%,2.35%,Sim,30 dias,,,,,,,,,,,,,,
